nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
96,0.23940708,-0.613085,-0.18360071,0.23940708,-0.613085,-0.18360071,0.17020552,-0.61840415,-0.18326733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.23413712,-0.6148888,-0.18728523,0.23413712,-0.6148888,-0.18728523,0.1690496,-0.6158051,-0.18480904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.23313694,-0.6148713,-0.18688032,0.23313694,-0.6148713,-0.18688032,0.18412763,-0.6140149,-0.16704014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.22525528,-0.62112224,-0.19318219,0.22525528,-0.62112224,-0.19318219,0.15348023,-0.6276379,-0.20252538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.22395507,-0.62152314,-0.19327849,0.22395507,-0.62152314,-0.19327849,0.16096221,-0.643992,-0.19697884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0.22079036,-0.6230314,-0.19390008,0.22079036,-0.6230314,-0.19390008,0.15949485,-0.63032585,-0.19952758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0.21944392,-0.62314683,-0.19415736,0.21944392,-0.62314683,-0.19415736,0.15346801,-0.62880135,-0.20676316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0.21860798,-0.62536526,-0.1945396,0.21860798,-0.62536526,-0.1945396,0.15634915,-0.63483846,-0.20299603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.21786836,-0.62550825,-0.1941099,0.21786836,-0.62550825,-0.1941099,0.18162696,-0.63251543,-0.17305417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.21681754,-0.6256361,-0.19407777,0.21681754,-0.6256361,-0.19407777,0.16532809,-0.63190204,-0.192504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.21528499,-0.6265114,-0.19630562,0.21528499,-0.6265114,-0.19630562,0.17001426,-0.6318942,-0.1882108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.21425037,-0.6264604,-0.19630744,0.21425037,-0.6264604,-0.19630744,0.16355303,-0.6239604,-0.19639681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.21315074,-0.626597,-0.19790006,0.21315074,-0.626597,-0.19790006,0.16630569,-0.63499016,-0.19304648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0.21214211,-0.6268373,-0.19785783,0.21214211,-0.6268373,-0.19785783,0.16271892,-0.6386139,-0.19578971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.21164821,-0.6231788,-0.19669983,0.21164821,-0.6231788,-0.19669983,0.16062035,-0.6187333,-0.19949213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0.21078451,-0.6230192,-0.19657528,0.21078451,-0.6230192,-0.19657528,0.16846244,-0.6152007,-0.19047186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0.2095005,-0.62402624,-0.19769436,0.2095005,-0.62402624,-0.19769436,0.16205205,-0.6228546,-0.19625635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0.20860077,-0.6241973,-0.19768074,0.20860077,-0.6241973,-0.19768074,0.16451424,-0.6325777,-0.1970142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0.20753257,-0.62436247,-0.19788766,0.20753257,-0.62436247,-0.19788766,0.15519065,-0.63245696,-0.20802729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0.20860639,-0.62512916,-0.19577628,0.20860639,-0.62512916,-0.19577628,0.1657526,-0.6335276,-0.19549152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0.20787191,-0.62521476,-0.19563091,0.20787191,-0.62521476,-0.19563091,0.17188181,-0.62940794,-0.18850781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0.20992592,-0.6257743,-0.19541197,0.20992592,-0.6257743,-0.19541197,0.17433573,-0.6282962,-0.18567924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0.20913257,-0.6256842,-0.19534859,0.20913257,-0.6256842,-0.19534859,0.17025803,-0.6212686,-0.19224407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0.21015543,-0.6252663,-0.19328566,0.21015543,-0.6252663,-0.19328566,0.18688935,-0.62935793,-0.171982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.2093504,-0.6255642,-0.19326124,0.2093504,-0.6255642,-0.19326124,0.16990553,-0.6401592,-0.19206408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0.20972882,-0.624797,-0.19120297,0.20972882,-0.624797,-0.19120297,0.17122409,-0.63589066,-0.19207233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0.20904529,-0.624818,-0.19113097,0.20904529,-0.624818,-0.19113097,0.17555226,-0.62584966,-0.18760234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0.20801726,-0.6247641,-0.19148791,0.20801726,-0.6247641,-0.19148791,0.15764368,-0.62212086,-0.20897783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0.20895284,-0.62446696,-0.19006391,0.20895284,-0.62446696,-0.19006391,0.16706426,-0.6217394,-0.19790116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.20834479,-0.62451214,-0.18994254,0.20834479,-0.62451214,-0.18994254,0.17854938,-0.62672925,-0.18399498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0.20942129,-0.6238706,-0.18905987,0.20942129,-0.6238706,-0.18905987,0.16960785,-0.6249912,-0.1946871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0.20891075,-0.62406325,-0.18882252,0.20891075,-0.62406325,-0.18882252,0.18389362,-0.6335013,-0.17719302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0.21221812,-0.62301075,-0.187223,0.21221812,-0.62301075,-0.187223,0.1982426,-0.623247,-0.16087799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0.21176143,-0.62282044,-0.1869209,0.21176143,-0.62282044,-0.1869209,0.18938315,-0.6134949,-0.17211783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
